scenario,metric,mean,std
cheap,accuracy,0.7820215053763441,0.07782035931979378
cheap_kb,accuracy,0.7866021505376344,0.08151905295642675
cheap,balanced_accuracy,0.7771933581124759,0.07979971623173165
cheap_kb,balanced_accuracy,0.7813873626373626,0.08323528090460157
cheap,f1,0.7474692055116101,0.09580137078700647
cheap_kb,f1,0.7507469516664975,0.1015484073737277
cheap,roc_auc,0.858543552036199,0.07365759321230632
cheap_kb,roc_auc,0.8614524078862312,0.07595504591242777
